keff_target,wind_strength,Kp,sr,rms
4.0,0.05,5,0.375,7.92117511589946
4.0,0.05,10,0.75,5.854096469840555
4.0,0.05,20,1.0,5.285751813442118
4.0,0.05,40,1.0,4.006598157069548
4.0,0.05,80,1.0,3.232428126854194
4.0,0.05,160,1.0,2.8734321890447747
4.0,0.1,1,0.25,11.122584941489274
4.0,0.1,2,0.25,11.906099549117343
4.0,0.1,5,0.625,9.715933774230102
4.0,0.1,10,0.625,8.10443772305656
4.0,0.1,20,1.0,4.970458601715613
4.0,0.1,40,1.0,3.6135928347418007
4.0,0.1,80,1.0,4.0284364072878835
4.0,0.1,160,1.0,2.9279010243282233
4.0,0.15,1,0.375,11.782675198113331
4.0,0.15,2,0.5,10.246277194437202
4.0,0.15,5,0.5,11.40184000410615
4.0,0.15,10,0.75,7.615367171141192
4.0,0.15,20,1.0,5.92395352080119
4.0,0.15,40,1.0,4.9907407610375545
4.0,0.15,80,1.0,2.815579045108152
4.0,0.15,160,1.0,2.8048741788592975
4.0,0.2,1,0.25,13.604397363036384
4.0,0.2,2,0.25,13.28519779154023
4.0,0.2,5,0.5,9.686554540239916
4.0,0.2,10,0.75,8.713594814384418
4.0,0.2,20,0.75,5.649324842729908
4.0,0.2,40,1.0,3.92042964744592
4.0,0.2,80,1.0,3.0761231244990244
4.0,0.2,160,1.0,3.1641128303197927
4.0,0.25,1,0.375,16.126302783501853
4.0,0.25,2,0.625,8.77836829130378
4.0,0.25,5,0.5,11.30353873408097
4.0,0.25,10,0.875,6.940230178755831
4.0,0.25,20,1.0,4.933731713736983
4.0,0.25,40,1.0,4.1612345286278645
4.0,0.25,80,1.0,3.159174823395227
4.0,0.25,160,1.0,2.9207034556817435
4.0,0.3,1,0.75,7.493385416173149
4.0,0.3,2,0.625,8.43277515154701
4.0,0.3,5,0.625,7.416059817264514
4.0,0.3,10,0.875,6.955723007049803
4.0,0.3,20,1.0,5.284997055709135
4.0,0.3,40,1.0,4.244335631479813
4.0,0.3,80,1.0,3.1319853047878206
4.0,0.3,160,1.0,2.800874154136692
4.0,0.35,1,0.5,12.535329771603932
4.0,0.35,2,0.5,11.886917084695284
4.0,0.35,5,0.5,10.440918603777178
4.0,0.35,10,0.75,8.030722717412104
4.0,0.35,20,1.0,5.743503361106857
4.0,0.35,40,1.0,4.470007708088505
4.0,0.35,80,1.0,3.3976532583993984
4.0,0.35,160,1.0,3.0389176409720564
4.0,0.4,1,0.5,13.346909284786504
4.0,0.4,2,0.625,8.865522358931202
4.0,0.4,5,0.75,6.664938095430637
4.0,0.4,10,0.875,6.210252068556543
4.0,0.4,20,0.875,6.066206304112734
