rocket_id,keff,latency,Pi,window_ratio,collapse_C,log_collapse_C
R5852,10.835513808566809,5,270.88784521417017,24.26428032541704,6572.898613024806,8.790710203380398
R5897,30.685848953832885,4,490.97358326132616,13.587988089338308,6671.34320153465,8.80557649817596
R6078,26.96839792639544,1,26.96839792639544,329.70275205813306,8891.555014931426,9.092857230526821
R6086,2.813746463031553,2,11.254985852126213,103.39464770853374,1163.7052971451212,7.059364415088822
R6119,28.763431212013614,5,719.0857803003405,3.1887796841046794,2293.0061273502865,7.737618955052453
R6149,30.72001518930482,2,122.88006075721928,246.72686679827,30317.81238260977,10.319490686183967
R6154,8.93399741371011,5,223.34993534275276,57.90096482248502,12932.176749385031,9.467473806350519
R6425,32.11457571911433,4,513.8332115058292,13.587988089338308,6981.959557847659,8.85108489530327
R6456,25.57715896270712,5,639.428974067678,13.587988089338308,8688.553283609423,9.069761723802701
R6700,4.184945615799983,4,66.95912985279973,103.39464770853388,6923.215642000203,8.842635628827932
R6715,6.368597687972353,4,101.89756300755764,440.5839790588584,44894.43376627048,10.71206909647467
R6774,1.5471422690416885,2,6.188569076166754,1404.9252415648882,8694.476904274574,9.070443264458204
R6883,8.18587443372066,1,8.18587443372066,246.7268667982698,2019.6751510359595,7.610691961144088
R7019,8.962559787785517,2,35.85023915114207,329.70275205813283,11819.92251007376,9.377541735107277
R7102,43.259635473998415,2,173.03854189599366,103.39464770853388,17891.259079334646,9.792067552971764
R7136,15.742776509062583,1,15.742776509062583,246.72686679826984,3884.1659227864156,8.26466354806272
R7309,37.37955890267901,2,149.51823561071603,77.37344415111072,11568.74085259835,9.35606198562227
R7647,35.39950437348753,2,141.59801749395012,138.16695498126347,19564.166908522766,9.881454953033751
R7720,6.462201326800688,4,103.395221228811,138.16695498126344,14285.802876798904,9.567021517271609
R7735,11.723609831956248,4,187.5777573113,138.1669549812634,25917.047549916733,10.162656237725189
R7792,14.390161265655516,3,129.51145139089965,77.37344415111072,10020.747051123064,9.21241292786
R7835,31.818395807032903,4,509.09433291252645,10.168315873758727,5176.631986595053,8.551909928146655
R7900,6.801190570243423,2,27.204762280973693,1051.3494375563755,28601.71152295659,10.261221838477416
R8015,12.149701351540616,5,303.74253378851546,32.42451907980095,9848.705582172804,9.195095312553313
R8162,16.237805571512183,6,584.5610005744386,13.587988089338316,7943.00791329716,8.980047312893136
R8333,17.141966303414087,3,154.27769673072677,57.900964822485065,8932.82749129983,9.097488252119405
R8400,4.350727668718048,6,156.62619607384974,138.16695498126344,21640.56458182214,9.982324822353087
R8769,2.094458996547181,1,2.094458996547181,1404.9252415648882,2942.5583116718017,7.987034655988817
R8909,7.706380767058687,2,30.825523068234748,588.7552997104206,18148.690072769034,9.806353664789224
R8922,8.664746237406142,4,138.63593979849827,1404.925241564889,194773.1312109806,12.1795907305489
R8959,11.897967175472928,4,190.36747480756685,103.3946477085338,19682.977992891556,9.88750947993542
R9127,12.30579546930998,6,443.00863689515927,43.32910036713835,19195.165691539507,9.862413739413245
R9699,8.934699477774997,3,80.41229529997497,588.7552997104206,47343.16501973961,10.765177738030843
R9812,4.194965412404011,1,4.194965412404011,184.63342031600004,774.5308121994723,6.652257442408999
