rocket_id,td,Iyy,wind,latency,kp_floor,kp_ceil,window_ratio,collapsed
R0821,44.965911308573496,0.0394339942318284,0.32,3,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.32,6,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.42,1,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.42,3,1,320,320.0,False
R0821,44.965911308573496,0.0394339942318284,0.42,6,1,320,320.0,False
R1134,29.970430613638314,0.0818862105548083,0.05,1,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.05,3,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.05,6,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.12,1,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.12,3,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.12,6,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.22,1,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.22,3,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.22,6,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.32,1,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.32,3,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.32,6,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.42,1,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.42,3,1,130,130.0,False
R1134,29.970430613638314,0.0818862105548083,0.42,6,1,130,130.0,False
R1146,59.92680514013441,0.0135877194548863,0.05,1,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.05,3,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.05,6,1,90,90.0,False
R1146,59.92680514013441,0.0135877194548863,0.12,1,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.12,3,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.12,6,1,90,90.0,False
R1146,59.92680514013441,0.0135877194548863,0.22,1,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.22,3,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.22,6,1,90,90.0,False
R1146,59.92680514013441,0.0135877194548863,0.32,1,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.32,3,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.32,6,3,90,30.0,False
R1146,59.92680514013441,0.0135877194548863,0.42,1,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.42,3,1,320,320.0,False
R1146,59.92680514013441,0.0135877194548863,0.42,6,2,90,45.0,False
R1460,110.4597462261217,0.0099042246844974,0.05,1,1,320,320.0,False
R1460,110.4597462261217,0.0099042246844974,0.05,3,8,320,40.0,False
R1460,110.4597462261217,0.0099042246844974,0.05,6,3,18,6.0,False
R1460,110.4597462261217,0.0099042246844974,0.12,1,1,320,320.0,False
R1460,110.4597462261217,0.0099042246844974,0.12,3,5,320,64.0,False
R1460,110.4597462261217,0.0099042246844974,0.12,6,3,40,13.333333333333334,False
R1460,110.4597462261217,0.0099042246844974,0.22,1,1,320,320.0,False
R1460,110.4597462261217,0.0099042246844974,0.22,3,5,320,64.0,False
R1460,110.4597462261217,0.0099042246844974,0.22,6,5,40,8.0,False
R1460,110.4597462261217,0.0099042246844974,0.32,1,2,320,160.0,False
R1460,110.4597462261217,0.0099042246844974,0.32,3,3,270,90.0,False
R1460,110.4597462261217,0.0099042246844974,0.32,6,5,60,12.0,False
R1460,110.4597462261217,0.0099042246844974,0.42,1,2,320,160.0,False
R1460,110.4597462261217,0.0099042246844974,0.42,3,2,320,160.0,False
R1460,110.4597462261217,0.0099042246844974,0.42,6,3,60,20.0,False
R1648,213.67197467696982,0.0127395659467984,0.05,1,1,320,320.0,False
R1648,213.67197467696982,0.0127395659467984,0.05,3,1,320,320.0,False
R1648,213.67197467696982,0.0127395659467984,0.05,6,5,27,5.4,False
R1648,213.67197467696982,0.0127395659467984,0.12,1,1,320,320.0,False
R1648,213.67197467696982,0.0127395659467984,0.12,3,1,320,320.0,False
R1648,213.67197467696982,0.0127395659467984,0.12,6,5,90,18.0,False
R1648,213.67197467696982,0.0127395659467984,0.22,1,1,320,320.0,False
R1648,213.67197467696982,0.0127395659467984,0.22,3,2,270,135.0,False
R1648,213.67197467696982,0.0127395659467984,0.22,6,5,60,12.0,False
R1648,213.67197467696982,0.0127395659467984,0.32,1,1,320,320.0,False
R1648,213.67197467696982,0.0127395659467984,0.32,3,2,190,95.0,False
R1648,213.67197467696982,0.0127395659467984,0.32,6,5,60,12.0,False
R1648,213.67197467696982,0.0127395659467984,0.42,1,1,320,320.0,False
R1648,213.67197467696982,0.0127395659467984,0.42,3,1,270,270.0,False
R1648,213.67197467696982,0.0127395659467984,0.42,6,8,60,7.5,False
