rocket_id,td,latency_steps,Iyy,motor_scale,max_gimbal_deg,new_Kp,new_Kd,nom_sr,under_sr,over_sr,margin,nom_rms
R0864,7.992434682910862,4,0.0916844408869169,1.1741697451376345,9.932623703538209,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.3137748331200347
R2558,9.85299398455753,5,0.0886351369790666,2.0481207343837915,6.786388456507685,58.65987877815546,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.748609900815174
R0503,10.121584123387477,5,0.0534926271237324,1.4529577030265848,5.930749437439301,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.8243112673911056
R2291,10.2800453503996,1,0.0595855315568801,1.447258517202148,6.736120788512826,82.35745631970453,1.0,1.0,1.0,0.6,0.6,2.1953965026718048
R3083,8.640997324609579,1,0.0883088931160818,1.3768749047526545,8.820515330197539,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.097243870654249
R1254,9.034412133674296,4,0.0947835651185677,2.195662143846257,6.207083044282534,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.6910707140387232
R1755,9.93051074366105,4,0.08952821110379,1.851112735793606,7.643966150570367,82.35745631970453,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.3061444790874135
R1676,8.42832041875559,3,0.0402042954405958,2.005436995644416,2.6892092892872097,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.3776988333007625
R3768,8.080420279919387,4,0.0577265782349056,2.133782963842973,3.4792020735042586,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.073028019895108
R1737,8.696174755305837,3,0.0808754229739515,0.8216861733508637,13.622567739992013,82.35745631970453,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.535327810378404
R3130,11.722014838418213,4,0.066585889034283,2.0984863530609563,5.919683014788499,58.65987877815546,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.7110401038123852
R3671,10.908214772116752,2,0.0855777278017169,2.0961260454710158,7.087893260541663,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5177461971495663
R3472,13.437416579833206,3,0.0797099723261437,2.113432232778155,8.066037641924535,58.65987877815546,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.720261273174858
R2276,10.550865396310767,1,0.085507619168859,1.6014352906967193,8.966101143773177,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5518774837496296
R2608,12.95077516067744,4,0.0432370820590383,1.3296508348486382,6.702466650189564,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.4752222887108792
R0449,11.73520307005406,3,0.0835696972384819,2.9445255418757568,5.3008344828347465,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.7745129118145994
R0975,10.77101484848215,5,0.0530375111590103,0.6541930331094825,13.898053451475242,41.78105458855241,1.0,1.0,1.0,1.0,1.0,1.1874018753759812
R0791,10.58071877603824,2,0.0746610448796517,2.236349386800718,5.621985381000819,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.1775080921600032
R2976,11.999746979640312,3,0.0777996733898442,1.6587126733312725,8.957747808328024,82.35745631970453,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,1.205194736160904
R0863,11.877395025291149,2,0.0642868809235,2.956233360381569,4.110786995001051,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.8850823832031006
R0291,10.593711659758933,4,0.0940703726032695,1.3414097811269985,11.823870791946646,41.78105458855241,1.0,1.0,1.0,1.0,1.0,0.5024441561519838
R3707,12.684184790146553,5,0.0793830368502024,1.5629497159745585,10.25334086194622,41.78105458855241,1.0,1.0,1.0,1.0,1.0,0.5659018890358929
R3731,12.999544278363528,3,0.0880135984440664,2.64182334297049,6.892777562101131,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.54825876031426
R2904,17.252010474648824,4,0.0451564632342248,0.899992742036849,13.776559025218544,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.7153379920019306
