rocket_id,regime_label,ablated_modules,kp_ablated,kd_ablated,kp_full,kd_full,kp_delta,kp_ratio,kp_misselected,kp_underselected,sr_ablated_in_full,sr_full_in_full,sr_gap,rms_ablated_in_full,rms_full_in_full,rms_gap,go_ablated,go_full,decision_agrees,false_approval,false_rejection,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength
R0550,EASY,wind,15.0,32.0,80.0,1.0,65.0,5.333333333333333,1,1,1.0,1.0,0.0,7.976688463582576,0.7580852509192081,7.218603212663368,1,1,1,0,0,0.0,0.9927897701118746,0.0162650173594232,-0.1559843831112031,-86.8178803471178,7.569634488501718,1.0809293833254006,130.6229129081552,6.932347577890219,2,0.0204986214957931,0.1146422993534572,0.3837199920584051
R0550,EASY,sensor_noise,5.0,8.0,80.0,1.0,75.0,16.0,1,1,0.3333333333333333,1.0,0.6666666666666667,13.234667280224892,0.7580852509192081,12.476582029305684,0,1,0,0,1,0.0,0.9927897701118746,0.0162650173594232,-0.1559843831112031,-86.8178803471178,7.569634488501718,1.0809293833254006,130.6229129081552,6.932347577890219,2,0.0204986214957931,0.1146422993534572,0.3837199920584051
R0550,EASY,slew,40.0,32.0,80.0,1.0,40.0,2.0,1,1,0.6666666666666666,1.0,0.33333333333333337,12.106985904353058,0.7580852509192081,11.34890065343385,1,1,1,0,0,0.0,0.9927897701118746,0.0162650173594232,-0.1559843831112031,-86.8178803471178,7.569634488501718,1.0809293833254006,130.6229129081552,6.932347577890219,2,0.0204986214957931,0.1146422993534572,0.3837199920584051
R0550,EASY,latency,2.0,8.0,80.0,1.0,78.0,40.0,1,1,0.0,1.0,1.0,20.703313240348038,0.7580852509192081,19.94522798942883,0,1,0,0,1,0.0,0.9927897701118746,0.0162650173594232,-0.1559843831112031,-86.8178803471178,7.569634488501718,1.0809293833254006,130.6229129081552,6.932347577890219,2,0.0204986214957931,0.1146422993534572,0.3837199920584051
R0550,EASY,sensor_noise+wind,15.0,32.0,80.0,1.0,65.0,5.333333333333333,1,1,1.0,1.0,0.0,7.976688463582576,0.7580852509192081,7.218603212663368,1,1,1,0,0,0.0,0.9927897701118746,0.0162650173594232,-0.1559843831112031,-86.8178803471178,7.569634488501718,1.0809293833254006,130.6229129081552,6.932347577890219,2,0.0204986214957931,0.1146422993534572,0.3837199920584051
R0551,EASY,wind,40.0,32.0,80.0,1.0,40.0,2.0,1,1,1.0,1.0,0.0,6.006701291724542,0.4331824838467481,5.573518807877794,1,1,1,0,0,0.0,0.9594447922708588,0.0213275968300372,-0.1132354756494743,-59.00284171315866,13.279426444483136,1.0416936487240145,129.3467917542875,7.037072410089941,4,0.1195692110806369,0.1142025285965903,0.4287414281787854
R0551,EASY,sensor_noise,40.0,32.0,80.0,1.0,40.0,2.0,1,1,1.0,1.0,0.0,6.006701291724542,0.4331824838467481,5.573518807877794,1,1,1,0,0,0.0,0.9594447922708588,0.0213275968300372,-0.1132354756494743,-59.00284171315866,13.279426444483136,1.0416936487240145,129.3467917542875,7.037072410089941,4,0.1195692110806369,0.1142025285965903,0.4287414281787854
R0551,EASY,slew,5.0,8.0,80.0,1.0,75.0,16.0,1,1,0.6666666666666666,1.0,0.33333333333333337,7.71007306556509,0.4331824838467481,7.276890581718342,1,1,1,0,0,0.0,0.9594447922708588,0.0213275968300372,-0.1132354756494743,-59.00284171315866,13.279426444483136,1.0416936487240145,129.3467917542875,7.037072410089941,4,0.1195692110806369,0.1142025285965903,0.4287414281787854
R0551,EASY,latency,15.0,32.0,80.0,1.0,65.0,5.333333333333333,1,1,0.6666666666666666,1.0,0.33333333333333337,8.966072276253627,0.4331824838467481,8.532889792406879,1,1,1,0,0,0.0,0.9594447922708588,0.0213275968300372,-0.1132354756494743,-59.00284171315866,13.279426444483136,1.0416936487240145,129.3467917542875,7.037072410089941,4,0.1195692110806369,0.1142025285965903,0.4287414281787854
R0551,EASY,sensor_noise+wind,40.0,32.0,80.0,1.0,40.0,2.0,1,1,1.0,1.0,0.0,6.006701291724542,0.4331824838467481,5.573518807877794,1,1,1,0,0,0.0,0.9594447922708588,0.0213275968300372,-0.1132354756494743,-59.00284171315866,13.279426444483136,1.0416936487240145,129.3467917542875,7.037072410089941,4,0.1195692110806369,0.1142025285965903,0.4287414281787854
R0552,EASY,wind,80.0,32.0,80.0,1.0,0.0,1.0,0,0,0.3333333333333333,1.0,0.6666666666666667,19.351399118607816,1.2469863538073254,18.10441276480049,0,1,0,0,1,0.153312218740888,1.4920403836518488,0.0170668059990611,0.0093354008351712,-72.83886517388132,7.697550328710154,1.7682253365760023,171.9189329126226,10.793941358080714,4,0.1066024480074301,0.1364116543323978,0.0641996880111894
R0552,EASY,sensor_noise,2.0,8.0,80.0,1.0,78.0,40.0,1,1,0.0,1.0,1.0,23.39850910003543,1.2469863538073254,22.151522746228103,0,1,0,0,1,0.153312218740888,1.4920403836518488,0.0170668059990611,0.0093354008351712,-72.83886517388132,7.697550328710154,1.7682253365760023,171.9189329126226,10.793941358080714,4,0.1066024480074301,0.1364116543323978,0.0641996880111894
R0552,EASY,slew,160.0,32.0,80.0,1.0,-80.0,0.5,1,0,0.6666666666666666,1.0,0.33333333333333337,11.473769786966088,1.2469863538073254,10.226783433158761,1,1,1,0,0,0.153312218740888,1.4920403836518488,0.0170668059990611,0.0093354008351712,-72.83886517388132,7.697550328710154,1.7682253365760023,171.9189329126226,10.793941358080714,4,0.1066024480074301,0.1364116543323978,0.0641996880111894
R0552,EASY,latency,15.0,32.0,80.0,1.0,65.0,5.333333333333333,1,1,0.3333333333333333,1.0,0.6666666666666667,29.471642416906672,1.2469863538073254,28.224656063099346,0,1,0,0,1,0.153312218740888,1.4920403836518488,0.0170668059990611,0.0093354008351712,-72.83886517388132,7.697550328710154,1.7682253365760023,171.9189329126226,10.793941358080714,4,0.1066024480074301,0.1364116543323978,0.0641996880111894
R0552,EASY,sensor_noise+wind,5.0,1.0,80.0,1.0,75.0,16.0,1,1,0.6666666666666666,1.0,0.33333333333333337,3.903314915130848,1.2469863538073254,2.6563285613235226,1,1,1,0,0,0.153312218740888,1.4920403836518488,0.0170668059990611,0.0093354008351712,-72.83886517388132,7.697550328710154,1.7682253365760023,171.9189329126226,10.793941358080714,4,0.1066024480074301,0.1364116543323978,0.0641996880111894
R0553,EASY,wind,5.0,8.0,40.0,1.0,35.0,8.0,1,1,0.6666666666666666,1.0,0.33333333333333337,11.28341198240011,0.6746339875206385,10.608777994879473,1,1,1,0,0,0.0,1.059791743315662,0.035474680502917,-0.2648207548304434,-82.78849193325287,6.2945240674556295,2.7078653197307583,130.97531521832298,7.775192015212524,2,0.0776141093223292,0.0938721922063129,0.1137415580453899
R0553,EASY,sensor_noise,5.0,1.0,40.0,1.0,35.0,8.0,1,1,1.0,1.0,0.0,1.6833854390067238,0.6746339875206385,1.0087514514860851,1,1,1,0,0,0.0,1.059791743315662,0.035474680502917,-0.2648207548304434,-82.78849193325287,6.2945240674556295,2.7078653197307583,130.97531521832298,7.775192015212524,2,0.0776141093223292,0.0938721922063129,0.1137415580453899
R0553,EASY,slew,15.0,32.0,40.0,1.0,25.0,2.6666666666666665,1,1,1.0,1.0,0.0,9.050541735193384,0.6746339875206385,8.375907747672747,1,1,1,0,0,0.0,1.059791743315662,0.035474680502917,-0.2648207548304434,-82.78849193325287,6.2945240674556295,2.7078653197307583,130.97531521832298,7.775192015212524,2,0.0776141093223292,0.0938721922063129,0.1137415580453899
R0553,EASY,latency,15.0,32.0,40.0,1.0,25.0,2.6666666666666665,1,1,1.0,1.0,0.0,9.050541735193384,0.6746339875206385,8.375907747672747,1,1,1,0,0,0.0,1.059791743315662,0.035474680502917,-0.2648207548304434,-82.78849193325287,6.2945240674556295,2.7078653197307583,130.97531521832298,7.775192015212524,2,0.0776141093223292,0.0938721922063129,0.1137415580453899
R0553,EASY,sensor_noise+wind,5.0,1.0,40.0,1.0,35.0,8.0,1,1,1.0,1.0,0.0,1.6833854390067238,0.6746339875206385,1.0087514514860851,1,1,1,0,0,0.0,1.059791743315662,0.035474680502917,-0.2648207548304434,-82.78849193325287,6.2945240674556295,2.7078653197307583,130.97531521832298,7.775192015212524,2,0.0776141093223292,0.0938721922063129,0.1137415580453899
R0554,EASY,wind,80.0,32.0,40.0,1.0,-40.0,0.5,1,0,0.3333333333333333,1.0,0.6666666666666667,11.43403320691217,2.015371830565235,9.418661376346936,0,1,0,0,1,4.511273440825517,1.086920238033052,0.0285385709046964,0.2943608345231593,-88.15644038767178,10.872431432970988,2.97418996603644,118.49888704605291,14.02175683347368,6,0.1171075396504407,0.1460865298116238,0.1471266235423351
