rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kp,opt_Kd,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,td_bin,lat_bin
R8026,106.92914768648762,14.432652250627525,7.408835592351946,1,0.014279910607058032,2.6241083003070536,9.261044490439932,0.2752341508444659,112.9757614975604,-0.05619088973656555,320.0,1.0,1.9743504858348198,480.0,243.11792837381674,1.0,False,True,td80-120,lat1
R8909,81.89145079924114,7.706380767058687,10.62644752116198,2,0.009093623010471702,0.8922725406898899,13.283059401452475,0.1982216427624085,139.8279239623922,-0.00854465934119375,162.34034009544706,1.0,0.5,480.0,960.0,1.0,True,True,td80-120,lat2-3
R2792,84.5784943760398,13.101582673047659,6.455593685641747,2,0.010534672684234353,1.757336489162991,8.069492107052184,0.4321962687936396,125.77846753418784,-0.24258215942489172,162.34034009544706,1.0,0.7902929114428325,480.0,607.3697398141496,1.0,False,True,td80-120,lat2-3
R9699,105.0524924304653,8.934699477774997,11.757809279627441,3,0.020889099418997976,2.3763466018657304,14.6972615995343,0.2558353371631678,196.69816676239333,0.2534115418408262,115.62844575768011,1.0,0.5,480.0,960.0,1.0,True,True,td80-120,lat2-3
R5026,86.56100357319131,9.285742857988671,9.321925547262115,2,0.01791459078025205,2.118037590919781,11.652406934077645,0.15921064240637745,114.06467545427773,-0.0370734018230332,227.9230326898601,1.0,0.5,480.0,960.0,1.0,True,True,td80-120,lat2-3
R0049,80.04661205068682,9.821145129103911,8.15043571787543,3,0.020533460059270533,2.56764149246812,10.188044647344288,0.3171429428628271,128.4606643240587,-0.04966838354080971,227.9230326898601,1.0,1.2491257717535775,303.6848699070746,243.11792837381654,1.0,False,False,td80-120,lat2-3
R2557,86.37776710644869,8.377831681307478,10.310277216379719,4,0.01761045391068342,1.8785047581078682,12.887846520474648,0.09428259063733578,148.74922309386488,-0.003982611023182425,115.62844575768011,1.0,1.2491257717535775,192.13437543849358,153.81507593808342,1.0,False,False,td80-120,lat4
R3686,96.76087718854485,9.619540736303277,10.05878345349462,4,0.015123865903401253,1.8523680208115596,12.573479316868275,0.3805405892322066,157.54151533201954,-0.14317925564274792,162.34034009544706,1.0,1.9743504858348198,192.13437543849358,97.31523192917437,1.0,False,False,td80-120,lat4
R2449,82.747726674471,12.13237466192751,6.820406472785649,4,0.0052949170396993615,0.8179280309438202,8.525508090982061,0.13271418928888523,122.80656882752041,-0.15680894874779047,29.758952096260835,1.0,1.9743504858348198,121.55896418690836,61.56909072580863,1.0,False,False,td80-120,lat4
R8922,101.87661962849734,8.664746237406142,11.757599915470218,4,0.0270471553101833,2.9839226538635897,14.696999894337772,0.13206022910252585,199.30595539291028,-0.189038192499063,82.35745631970453,1.0,1.9743504858348198,192.13437543849358,97.31523192917437,1.0,False,False,td80-120,lat4
R1569,82.5177343996346,36.38646136537409,2.2678142172450917,4,0.0053407775558939425,2.4743118236737067,2.834767771556365,0.21534491356671515,125.47544736910189,0.14064645287463934,320.0,4.0,30.78454536290431,480.0,15.592239363664758,1.0,False,True,td80-120,lat4
R6154,95.75729056704833,8.93399741371011,10.718302920045536,5,0.016168978724815455,1.8392405386455528,13.397878650056919,0.3038005797636216,198.76337867888824,0.27570990630872355,29.758952096260835,1.0,1.9743504858348198,121.55896418690836,61.56909072580863,1.0,False,False,td80-120,lat5-6
R5852,113.43477793367097,10.835513808566807,10.46879547548422,5,0.019555428305539954,2.6979069128519026,13.085994344355273,0.09405437364669138,126.37272085890251,0.080808962035266,10.753066807087182,1.0,3.120630387317941,76.90753796904167,24.6448724852483,1.0,False,False,td80-120,lat5-6
R3332,98.21039227829111,22.64229052354827,4.337476024174809,6,0.005793596684805766,1.6702394457631915,5.421845030218512,0.2642113586348519,167.26888510739516,-0.03100450911861613,320.0,4.0,121.55896418690836,303.6848699070746,2.4982515435071533,1.0,False,False,td80-120,lat5-6
R8015,114.73222806082197,12.149701351540617,9.443213848731647,5,0.013577921207312996,2.1004338351135328,11.804017310914558,0.16308532458192843,194.50365947249935,0.243087921415773,58.65987877815546,1.0,4.932424148660939,76.90753796904167,15.592239363664747,1.0,False,False,td80-120,lat5-6
R0266,105.3105867363675,11.644412544545062,9.04387287323492,5,0.0062298852123422455,0.9236506640640498,11.304841091543649,0.3826588669944616,111.11834081739644,0.20332456393884885,21.19609566078763,1.0,3.120630387317941,76.90753796904167,24.6448724852483,1.0,False,False,td80-120,lat5-6
R0259,145.52418670934162,12.98487367899014,11.207208503291296,1,0.014098743683370808,2.3309248008565544,14.009010629114119,0.12262768416700567,195.94043469592594,0.04819566623362859,320.0,1.0,0.5,480.0,960.0,1.0,True,True,td120-180,lat1
R6078,176.22568703591975,26.96839792639544,6.534525614643132,1,0.00718270512367559,2.4663420286764577,8.168157018303916,0.24446727466092832,81.9489290830666,0.05093393426938053,115.62844575768011,1.0,1.2491257717535775,480.0,384.2687508769873,1.0,False,True,td120-180,lat1
R1489,154.48555476007593,21.862045211862924,7.066381633693081,1,0.00863501107216079,2.4036089115347865,8.832977042116351,0.12037292049760087,121.2739131680344,-0.2426532857705283,227.9230326898601,1.0,1.9743504858348198,480.0,243.11792837381674,1.0,False,True,td120-180,lat1
R4538,123.23745788573284,10.847686912066385,11.360713015108328,1,0.01715076605120273,2.368813031351542,14.200891268885409,0.13449797914760864,160.2189263574198,0.03933188733521087,227.9230326898601,1.0,0.5,480.0,960.0,1.0,True,True,td120-180,lat1
R9809,154.2200540227948,15.438703098362476,9.989184521538752,1,0.007712081037486605,1.515976672178882,12.48648065192344,0.29471260943005223,179.350807816982,-0.17607571245549725,320.0,1.0,0.5,480.0,960.0,1.0,True,True,td120-180,lat1
R7792,150.8097630034608,14.390161265655516,10.48006066223824,3,0.010995198337450567,2.0145536951518563,13.1000758277978,0.36547787249439184,143.06058319879142,-0.00016074809379701405,115.62844575768011,1.0,3.120630387317941,303.6848699070746,97.31523192917435,1.0,False,False,td120-180,lat2-3
R8333,174.30534599486742,17.141966303414087,10.168340253950436,3,0.013636526228386701,2.9762849468790424,12.710425317438045,0.4384658182870809,116.27441221699607,0.02280309802088809,115.62844575768011,1.0,1.9743504858348198,192.13437543849358,97.31523192917437,1.0,False,False,td120-180,lat2-3
R0787,148.50363741170023,19.188431032631897,7.739227723160614,2,0.012163789686139716,2.9717925297696137,9.674034653950768,0.09099647222341894,173.6709997203717,-0.2824680243791907,227.9230326898601,1.0,1.9743504858348198,480.0,243.11792837381674,1.0,False,True,td120-180,lat2-3
R7034,140.70105941342405,14.777286036867212,9.521441153835356,2,0.007645461485130182,1.4384954856642251,11.901801442294195,0.19329627770786034,139.85887994606327,-0.12208668056073757,162.34034009544706,1.0,1.2491257717535775,480.0,384.2687508769873,1.0,False,True,td120-180,lat2-3
