rocket_id,regime,td,latency,kp_pid,kd_pid,b0,pid_sr,pid_rms,adrc_sr,adrc_rms
R2176,FRAGILE,89.82990230716528,5,115.62844575768013,1.0,8.38310166676911,0.95,3.092342873271165,1.0,1.135457019716559
R2264,FRAGILE,211.0291414122912,6,10.753066807087182,1.0,17.925805043349094,0.55,9.002921141432827,0.9,4.289220040519073
R2287,FRAGILE,148.84459105291927,4,115.62844575768013,1.0,36.02085568588581,0.7,5.266490075847194,1.0,5.674786496159791
R2353,FRAGILE,231.4961711621065,4,115.62844575768013,1.0,29.948143717252727,0.75,5.664085047042902,1.0,2.838284646989574
R0819,EASY,0.7943056829694835,2,215.01,1.0,0.4750196456654232,1.0,1.3630029022533183,1.0,0.36865746007032274
R1434,EASY,2.973575614380925,3,168.58,1.0,1.277406524947741,1.0,1.4814310590882633,1.0,0.41135308436666984
R2078,EASY,3.859336379461172,5,59.67,1.0,0.8777697044994918,1.0,1.1926918532273478,1.0,0.43734059471060693
R1930,EASY,4.737481779253717,2,96.31,1.0,2.0837894456233963,1.0,1.006740929037655,1.0,0.4598410762781196
R1115,EASY,5.567432325471104,6,59.67,1.0,0.5731248508187536,1.0,0.8135040178832039,1.0,0.36794283991236265
R2369,EASY,6.240547136928456,4,6.84,1.0,0.6076837131808676,1.0,1.3590274140134042,1.0,0.35448996866337806
R1423,EASY,6.858841002918733,2,46.78,1.0,1.049350483235129,1.0,0.7911000152574006,1.0,0.35184015009678177
R0634,EASY,7.60860523811945,3,36.97,1.0,2.0026018228303086,1.0,1.641391190152793,1.0,0.38764154306891846
R0205,EASY,8.43155188299609,6,88.81,1.0,2.0677923189099134,1.0,1.3831652396127052,1.0,0.5830263359698733
R1687,EASY,9.294148246192186,4,88.81,1.0,2.5510718858471404,1.0,0.9917940002089283,1.0,0.5940373889752922
R1533,EASY,10.20150679680309,2,81.89,1.0,1.8423492985867824,1.0,1.0145655020919722,1.0,0.37499046284217413
R1329,EASY,10.956759528889592,3,81.89,1.0,2.0239671062812414,1.0,0.6704417870220607,1.0,0.3758524440439578
R1110,EASY,12.022195101098983,6,46.78,1.0,1.107274752303702,1.0,0.6221533799099753,1.0,0.4304431300888729
R2184,EASY,12.980720917147558,5,36.68,1.0,1.2692893228677664,1.0,0.9431131117893392,1.0,0.5175006241602331
R2358,EASY,13.716724983916333,3,88.81,1.0,1.3805517759012813,1.0,0.6716246005486788,1.0,0.3569610883206879
R1354,EASY,14.594672098550722,2,81.89,1.0,1.506830489677228,0.95,1.7200449023276316,1.0,0.41944725914854153
R1634,EASY,15.570621071307915,4,88.81,1.0,4.249219374714769,1.0,0.9599428201704242,1.0,0.4510485692967142
R1580,EASY,16.751126259177525,1,69.63,1.0,4.286148936829436,1.0,0.8863979492298618,1.0,0.6860162759914243
R0198,EASY,17.801417106810465,4,96.31,1.0,1.6445489939736735,1.0,0.7230068212447736,1.0,0.4081425168157186
R1777,EASY,18.877873241691223,2,69.63,1.0,2.911996653112591,1.0,0.7677905502559706,1.0,0.36617323008633335
R1711,EASY,20.082505794688693,3,81.89,1.0,2.1028983939304076,1.0,0.5162624823870904,1.0,0.40147606572387007
R0652,EASY,22.056865547883028,4,81.89,1.0,2.2584175418757417,1.0,0.9414062799043258,1.0,0.368030699792419
R0683,EASY,23.65655220250071,1,69.63,1.0,3.2019739333424937,1.0,0.7243367021269804,1.0,0.3647600691912517
R0656,EASY,25.65527758586689,6,6.84,1.0,2.2733848218499237,1.0,0.8725855769014726,1.0,0.4741291106998827
R0738,EASY,27.666179737548124,2,59.67,1.0,3.752440797532956,1.0,0.9532333604247984,1.0,0.3571995680503686
R1087,EASY,29.70733807835752,4,81.89,1.0,4.429615530030481,1.0,0.8203549265124614,1.0,0.8578229904855126
R2213,EASY,32.18270967227995,3,70.18,1.0,9.650179291798478,1.0,1.3702465986792383,1.0,1.9184106357561412
R0178,EASY,35.13566614151283,3,22.73,1.0,3.8379653706114922,1.0,0.8673521660330025,1.0,0.5587035596762944
R0135,EASY,38.40071526241659,1,69.63,1.0,4.065974967579448,1.0,1.010230511896868,1.0,0.6324045730541148
R1695,EASY,42.15203303048671,5,81.89,1.0,4.7777663884330135,1.0,0.6608168248184301,1.0,0.8664962826971715
R1309,EASY,48.47127022104043,4,50.74,1.0,11.893456648470035,1.0,1.6836486236084423,1.0,1.9176103879640156
R0429,EASY,57.27792662583058,4,69.63,1.0,5.151516766514994,1.0,0.7717879050149307,1.0,0.8366299733486782
R1459,EASY,69.7485277239291,6,46.78,1.0,8.304967751604046,1.0,2.8788333989980335,1.0,0.6681377053971718
R1306,EASY,85.34451832930962,5,21.19609566078763,1.0,8.666447986244522,1.0,3.2573729338185684,1.0,0.9744258947690791
R1770,EASY,117.34705767710406,5,82.35745631970453,1.0,10.012310151740895,0.95,2.846855119521492,1.0,1.1401456241713341
R0028,EASY,411.8370450147294,3,115.62844575768013,1.0,36.92325017955721,0.95,2.884221174525858,1.0,4.527669104195011
