rocket_id,td,keff,latency,kp_floor,kp_ceiling,window_ratio,Kp,kp_norm,sr_mean,slew_frac,rms_mean
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,1.6668520982752069,0.0037206544401240257,0.8,0.19066666666666668,5.6083925154772185
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,2.3488334783376765,0.00524293530261744,1.0,0.18966666666666665,4.798275296190952
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,3.309842975671725,0.007388047191642962,1.0,0.19166666666666665,4.066856098369028
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,4.664043076973089,0.0104108172532081,1.0,0.18733333333333332,3.651108437390576
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,6.572305086299695,0.01467033345459622,1.0,0.194,2.8197619881479596
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,9.261319725081533,0.020672602201592324,1.0,0.189,2.694353551880719
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,13.050526706220698,0.029130659034296787,1.0,0.18966666666666665,2.046675213901871
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,18.390062363199565,0.04104927321182107,1.0,0.19,1.6684088120430691
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,25.914233297661816,0.057844308610898815,1.0,0.189,1.289858199170716
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,36.51686841201154,0.08151092033730227,1.0,0.18466666666666667,1.254765091964352
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,51.45750072183237,0.11486056785510938,1.0,0.184,1.4061282394512966
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,72.51099274620199,0.16185500045152407,1.0,0.18866666666666668,1.1033587666118532
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,102.17838012503714,0.2280768906193209,1.0,0.1826666666666667,0.792512927986877
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,143.98398049133604,0.32139302393785085,1.0,0.18466666666666667,0.7639820831581428
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,202.89406245000353,0.4528888286552517,1.0,0.193,0.9762386221198623
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,285.90681016728115,0.6381852617945701,0.8,0.20900000000000002,1.467081994282572
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,402.88366802341744,0.8992944903965259,0.8,0.23366666666666663,2.8980462266226263
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,567.720824365932,1.267234812322998,0.2,0.31433333333333335,15.409787798695012
R0049,80.04661205068682,9.821145129103911,3,0.760926835001139,447.9997067987973,588.7552997104206,800.0,1.785715454406069,0.0,0.31466666666666665,85.13305906681892
R1687,208.4842785550694,36.304267137687866,3,7.737344415111075,187.74109386255512,24.264280325417047,1.9343361037777687,0.010303211001816642,0.0,0.634,17.864518956749265
R1687,208.4842785550694,36.304267137687866,3,7.737344415111075,187.74109386255512,24.264280325417047,2.455987619869498,0.013081779643126621,0.4,0.6416666666666667,11.635541478131781
R1687,208.4842785550694,36.304267137687866,3,7.737344415111075,187.74109386255512,24.264280325417047,3.1183180509178094,0.01660967232459359,0.2,0.6383333333333334,16.39948899651484
