rocket_id,regime,sr_adrc,sr_pid_best,sr_kp2
R0315,EASY,1.0,0.0,0.6666666666666666
R0316,EASY,1.0,0.0,0.3333333333333333
R0317,EASY,1.0,0.0,1.0
R0318,EASY,1.0,0.0,0.6666666666666666
R0319,EASY,1.0,0.0,1.0
R0320,EASY,1.0,0.0,0.3333333333333333
R0321,EASY,1.0,1.0,1.0
R0322,EASY,1.0,0.6666666666666666,0.3333333333333333
R0323,EASY,1.0,0.0,0.6666666666666666
R0324,EASY,1.0,0.0,0.3333333333333333
R0325,EASY,1.0,1.0,0.6666666666666666
R0326,EASY,1.0,0.0,1.0
R0327,EASY,1.0,0.0,0.6666666666666666
R0328,EASY,1.0,0.0,0.3333333333333333
R0329,EASY,1.0,1.0,0.3333333333333333
R0330,EASY,1.0,1.0,0.3333333333333333
R0331,EASY,1.0,0.0,0.6666666666666666
R0332,EASY,1.0,0.0,0.6666666666666666
R0333,EASY,1.0,1.0,0.6666666666666666
R0334,EASY,1.0,0.0,0.3333333333333333
R0335,EASY,1.0,0.3333333333333333,1.0
R0336,EASY,1.0,0.3333333333333333,0.3333333333333333
R0337,EASY,1.0,0.0,0.0
R0338,EASY,1.0,0.0,1.0
R0339,EASY,1.0,0.3333333333333333,0.6666666666666666
R0340,EASY,1.0,0.3333333333333333,0.6666666666666666
R0341,EASY,1.0,0.0,1.0
R0342,EASY,1.0,0.0,1.0
R0343,EASY,1.0,0.0,0.6666666666666666
R0344,EASY,1.0,1.0,1.0
R0345,EASY,1.0,1.0,0.3333333333333333
R0346,EASY,1.0,0.0,1.0
R0347,EASY,1.0,0.0,0.6666666666666666
R0348,EASY,1.0,0.0,0.6666666666666666
R0349,EASY,1.0,0.6666666666666666,0.3333333333333333
R0350,EASY,1.0,1.0,0.3333333333333333
R0351,EASY,1.0,1.0,1.0
R0352,EASY,1.0,0.0,1.0
R0353,EASY,1.0,0.6666666666666666,0.6666666666666666
R0354,EASY,1.0,0.0,1.0
R0355,EASY,1.0,1.0,0.6666666666666666
R0356,EASY,1.0,0.6666666666666666,0.3333333333333333
R0357,EASY,1.0,0.6666666666666666,1.0
R0358,EASY,1.0,0.0,0.6666666666666666
R0359,EASY,1.0,0.0,0.6666666666666666
R0360,EASY,1.0,0.3333333333333333,0.3333333333333333
R0361,EASY,1.0,1.0,0.0
R0362,EASY,1.0,0.6666666666666666,0.6666666666666666
R0363,MARGINAL,1.0,0.0,0.3333333333333333
R0364,EASY,1.0,0.0,0.6666666666666666
R0365,EASY,1.0,0.6666666666666666,1.0
R0366,EASY,1.0,0.3333333333333333,1.0
R0367,EASY,1.0,0.0,0.6666666666666666
