controller,ablation,uncertainty_level,mean_theta_rmse_deg,stable_fraction,mean_control_thd_pct,mean_observer_omega_o,mean_slew_sat_frac,mean_slew_sat_frac_boost
PID,E_observer_bandwidth,0.6,65.8471975205723,0.466666666666667,122.784391183386,28,0.268531468531468,0.83680387409201
PID,E_observer_bandwidth,0.7,65.8334292225882,0.475,122.839993930543,31,0.268622118622119,0.837086359967716
PID,E_observer_bandwidth,0.8,65.7969852812845,0.516666666666667,123.034683043749,34,0.268997668997669,0.838115415657789
PID,E_observer_bandwidth,0.9,65.8024793255768,0.525,122.608330004162,37,0.269146594146594,0.838720742534301
PID,E_observer_bandwidth,1,65.8412832084861,0.475,122.675170071449,40,0.269522144522145,0.839830508474576
ADRC,A_inertia_error,0,62.5271771823409,1,63.2491243063262,20,0.0474876974876975,0.0853712671509282
ADRC,A_inertia_error,0.1,62.5332068887284,1,63.509218005207,20,0.0480769230769231,0.0864003228410008
ADRC,A_inertia_error,0.2,62.51855813908,1,63.596555621834,20,0.047986272986273,0.0860169491525424
ADRC,A_inertia_error,0.3,62.4460396320713,1,63.3411628860847,20,0.0483423983423983,0.0866828087167071
ADRC,A_inertia_error,0.4,62.4421997626806,1,63.5381947637163,20,0.0488021238021238,0.0875302663438257
ADRC,A_inertia_error,0.5,62.41803375279,1,63.5562850556493,20,0.0494172494172494,0.0885794995964488
ADRC,A_inertia_error,0.6,62.3578138210221,1,63.3563848308918,20,0.0492942242942243,0.0891848264729621
ADRC,A_inertia_error,0.7,62.3819800681979,1,63.6753428151607,20,0.0497863247863248,0.0897901533494754
ADRC,A_inertia_error,0.8,62.2854210848835,1,63.5638600508422,20,0.0499870499870499,0.0908999192897498
ADRC,A_inertia_error,0.9,62.2630683315605,1,63.480467964218,20,0.0505180005180005,0.0914447134786118
ADRC,A_inertia_error,1,62.219108127846,1,63.5864742991241,20,0.0513856513856514,0.092635189669088
ADRC,B_aero_error,0,62.5673721384713,1,63.500276456329,20,0.0483747733747734,0.0866222760290557
ADRC,B_aero_error,0.1,62.7041390553585,1,63.7825965394109,20,0.0485431235431235,0.0846448748991122
ADRC,B_aero_error,0.2,62.8138062953473,1,63.8873935294026,20,0.0492812742812743,0.0844229217110573
ADRC,B_aero_error,0.3,62.9693320300752,1,64.403278564684,20,0.0496956746956747,0.0835754640839387
ADRC,B_aero_error,0.4,63.0781936391201,1,64.7207470396465,20,0.0504079254079254,0.0830710250201776
ADRC,B_aero_error,0.5,63.1871446800911,1,64.9882104116516,20,0.0507057757057756,0.0818805488297014
ADRC,B_aero_error,0.6,63.3037696879806,1,65.373600527395,20,0.0514827764827765,0.0818401937046006
ADRC,B_aero_error,0.7,63.3894677994211,1,65.4992887199448,20,0.0521691271691272,0.0810129136400323
ADRC,B_aero_error,0.8,63.5199426527119,1,66.0861412352662,20,0.0528231028231028,0.0800645682001614
ADRC,B_aero_error,0.9,63.5423033715516,1,66.0328601552829,20,0.054001554001554,0.0808111380145279
ADRC,B_aero_error,1,63.6051114731173,1,66.192153204582,20,0.0547332297332297,0.0786924939467313
ADRC,C_latency_error,0,62.5803330332863,1,63.6072280266528,20,0.048057498057498,0.0864205004035512
ADRC,C_latency_error,0.1,62.635004077262,1,63.5090504472218,20,0.0475977725977726,0.0873890234059726
ADRC,C_latency_error,0.2,62.6276278829239,1,63.4490665692312,20,0.0477402227402227,0.0873284907183213
ADRC,C_latency_error,0.3,62.7366610771219,1,63.6965296980981,20,0.0466977466977467,0.0856739305891848
ADRC,C_latency_error,0.4,62.7263340657206,1,63.6452347074426,20,0.0465941465941466,0.0861985472154964
ADRC,C_latency_error,0.5,62.8418108848322,1,63.9609444012563,20,0.0454933954933955,0.0854519774011299
ADRC,C_latency_error,0.6,62.8139134093332,1,63.7669739426142,20,0.0459207459207459,0.0855326876513317
ADRC,C_latency_error,0.7,62.9169767273972,1,63.9931901427527,20,0.0438552188552188,0.0837570621468927
ADRC,C_latency_error,0.8,62.9059330853599,1,63.9284268580025,20,0.0443861693861694,0.0841202582728007
ADRC,C_latency_error,0.9,63.0069561149679,1,64.1415678488468,20,0.0427479927479927,0.0821832122679581
ADRC,C_latency_error,1,63.0248967037169,1,64.238587819504,20,0.0431559181559182,0.0828087167070218
ADRC,D_thrust_misalignment,0,62.5437786896168,1,63.3720186442414,20,0.047992747992748,0.0867635189669088
ADRC,D_thrust_misalignment,0.1,62.5175604342164,1,63.321956267951,20,0.0474035224035224,0.085088781275222
ADRC,D_thrust_misalignment,0.2,62.458017977863,1,63.1870319463942,20,0.0458948458948459,0.0822841000807103
ADRC,D_thrust_misalignment,0.3,62.4641871276394,1,63.3266882180451,20,0.0460502460502461,0.0813559322033899
ADRC,D_thrust_misalignment,0.4,62.416530392527,1,63.2384259325109,20,0.0454804454804455,0.0808313155770783
ADRC,D_thrust_misalignment,0.5,62.3869808973489,1,63.3885860712039,20,0.0443796943796944,0.0789749798224375
ADRC,D_thrust_misalignment,0.6,62.3126765890759,1,63.5115192944112,20,0.0437192437192437,0.0770581113801453
ADRC,D_thrust_misalignment,0.7,62.2836271480207,1,63.6536306916166,20,0.0437645687645688,0.0776230831315577
ADRC,D_thrust_misalignment,0.8,62.2462467009951,1,64.0435694716402,20,0.0427285677285677,0.0756255044390637
ADRC,D_thrust_misalignment,0.9,62.1960660463613,1,64.715129764937,20,0.0415436415436415,0.0732243744955609
ADRC,D_thrust_misalignment,1,62.2138920935147,1,64.8158013103116,20,0.0425213675213675,0.0752824858757062
ADRC,E_observer_bandwidth,0,63.1532251948287,1,61.1275644061183,10,0.00832038332038332,0.0244955609362389
ADRC,E_observer_bandwidth,0.1,63.0504146332234,1,63.0556939466759,13,0.0181364931364931,0.0458837772397094
ADRC,E_observer_bandwidth,0.2,62.7813581414952,1,63.2839530782405,16,0.0306526806526806,0.0718724778046812
ADRC,E_observer_bandwidth,0.3,62.5833311433152,1,63.2810217517497,19,0.0501877751877752,0.0995157384987893
ADRC,E_observer_bandwidth,0.4,62.4062554462834,1,63.3927572691204,22,0.0928062678062678,0.174919289749798
ADRC,E_observer_bandwidth,0.5,62.2558153784259,1,63.7918397708732,25,0.154649054649055,0.328974979822438
ADRC,E_observer_bandwidth,0.6,62.0921575396837,1,64.0260791157037,28,0.219289044289044,0.502320419693301
ADRC,E_observer_bandwidth,0.7,61.8606945873455,1,63.6545546635369,31,0.269819994819995,0.633837772397095
ADRC,E_observer_bandwidth,0.8,61.6918634858809,1,63.5381300087483,34,0.307012432012432,0.727179176755448
ADRC,E_observer_bandwidth,0.9,61.4953473596514,1,63.5065911958689,37,0.333793058793059,0.785855528652139
ADRC,E_observer_bandwidth,1,61.3622322349781,1,64.3717335331756,40,0.357200207200207,0.831113801452785
