ablation,recommendation,uncertainty_level,epsilon_model,eta_hardware,residual_rms,residual_hf_ratio,estimated_lag_ms,post_burnout_bias_ratio,residual_burst_time_s,attitude_surge_time_s,residual_lead_ms,aero_transition_delay_ms,burst_snr,theta_surge_threshold_deg,q_surge_threshold_deg
B_aero_error,KeepPID,0.5,0.5,0.818805488297013,10.1457537272075,0.0028625912289803,-72,0.674071189270272,1.27,1.594,324,-44,60.8735262754441,12,120
B_aero_error,KeepPID,0.6,0.6,0.818866020984665,11.8042906356057,0.00247329383008224,-72,0.657169119801959,1.65,1.606,-44,-38,66.6488518836067,12,120
B_aero_error,KeepPID,0.7,0.7,0.814891041162228,13.5174043709355,0.00215790446395586,-74,0.643288440122127,1.178,1.608,430,-20,66.0694474696776,12,120
B_aero_error,KeepPID,0.8,0.8,0.819874899112187,15.2528292513694,0.00193883920734926,-76,0.646793769106298,1.376,1.61,234,0,73.6002434602921,12,120
B_aero_error,KeepPID,0.9,0.9,0.820177562550444,17.0343629379657,0.00176294682890093,-78,0.640900422350434,1.426,1.622,196,0,77.5256625262272,12,120
B_aero_error,KeepPID,1,1,0.816545601291364,18.8973805029602,0.00161302657171104,-76,0.637567300974419,1.364,1.13,-234,-42,85.6695011120673,12,120
C_latency_error,SwitchToADRC,0,0,0.837146892655367,5.09980329467685,0.00496368089427236,-90,0.91646559051829,1.204,1.68,476,-26,36.0652710250143,12,120
C_latency_error,SwitchToADRC,0.1,0.09,0.843603712671509,5.0746762799237,0.00499838814322655,-88,0.934303529505061,1.258,1.676,418,-16,38.4723097957538,12,120
C_latency_error,SwitchToADRC,0.2,0.18,0.843886198547215,5.06325705401853,0.00506014990408683,-84,0.956335777530389,1.436,1.628,192,-50,36.9982710336306,12,120
C_latency_error,KeepPID,0.3,0.27,0.83410008071025,5.08001604491579,0.00502566113728796,-86,0.953333587138311,1.246,1.648,402,-44,35.7837184207371,12,120
C_latency_error,KeepPID,0.4,0.36,0.83500807102502,5.05152684655843,0.00506269765503797,-84,0.978886769577607,1.65,1.604,-46,-30,33.6445967726864,12,120
C_latency_error,KeepPID,0.5,0.45,0.816303470540759,5.03216430781914,0.00512371065441138,-82,0.998226309179553,1.502,1.588,86.0000000000001,-48,40.4898547158434,12,120
C_latency_error,KeepPID,0.6,0.54,0.815052461662631,5.03095514211038,0.00510235753353887,-82,0.99722853411576,1.65,1.596,-54,-40,39.8643904862885,12,120
