ablation,uncertainty_level,predicted_best_controller,realistic_best_controller,top1_match,rank_spearman_rho,pred_score_pid,pred_score_adrc,pred_score_mpc,real_score_pid,real_score_adrc,real_score_mpc
D_thrust_misalignment,0,ADRC,ADRC,1,1,65.7627789255758,57.9223357594828,64.893619969647,318.292035242497,63.9606117223247,67.6379883789503
D_thrust_misalignment,0.1,ADRC,ADRC,1,1,65.915675479591,57.8019197737999,64.9696240980212,67.9996030688841,63.8849672293522,67.9117156159961
D_thrust_misalignment,0.2,ADRC,ADRC,1,0.5,66.2371137198503,57.6726585577102,64.9927866087856,67.5439720921094,63.7812932421098,67.7720653453117
D_thrust_misalignment,0.3,ADRC,ADRC,1,0.5,66.3534929696769,57.5342403135819,65.419771826097,67.2393418814072,63.7368224464315,67.9716545026197
D_thrust_misalignment,0.4,ADRC,ADRC,1,0.5,66.5076945111082,57.381775735379,65.4956980565213,66.8969308372257,63.6389976974442,67.961144406978
D_thrust_misalignment,0.5,ADRC,ADRC,1,0.5,66.8002604402769,57.2148919520218,65.4036120344628,65.7465775945878,63.589149406445,68.1630645299339
D_thrust_misalignment,0.6,ADRC,ADRC,1,0.5,66.8096299777861,57.0321507860286,65.6139171172333,67.4850825034,63.4858748464984,68.6653427895752
D_thrust_misalignment,0.7,ADRC,ADRC,1,0.5,66.9970132591603,56.8295802639718,65.6714152702176,66.8737035371601,63.4139157334494,319.759513867234
D_thrust_misalignment,0.8,ADRC,ADRC,1,1,66.8816109203854,56.6026086469699,65.755579002653,321.017719561212,63.3740604586949,320.794734270412
D_thrust_misalignment,0.9,ADRC,ADRC,1,1,66.9358460003049,56.3465831907376,65.7898760341486,323.944801431102,63.3101978310251,320.964620693309
D_thrust_misalignment,1,ADRC,ADRC,1,1,66.801881574766,56.0623032029555,65.9059829976256,324.529188122681,63.206825655079,321.328123390978
E_observer_bandwidth,0,ADRC,ADRC,1,1,64.6666544655042,57.4659814434153,63.224861274576,68.2227442888925,64.4332083748485,67.5200059545469
E_observer_bandwidth,0.1,ADRC,ADRC,1,1,64.6666544655042,58.0096619723128,63.224861274576,318.369772125089,64.3695853564391,67.6080946172059
E_observer_bandwidth,0.2,ADRC,ADRC,1,1,64.6666544655042,58.243043014241,63.224861274576,318.284214523401,64.149438765207,67.5489164912725
E_observer_bandwidth,0.3,ADRC,ADRC,1,1,64.6666544655042,58.4217865606225,63.224861274576,68.264854241202,63.9261051729218,67.5314937377574
E_observer_bandwidth,0.4,ADRC,ADRC,1,1,64.6666544655042,58.4929358780849,63.224861274576,318.397222902213,63.7581893554812,67.4652344857292
E_observer_bandwidth,0.5,ADRC,ADRC,1,1,64.6666544655042,58.3997472849902,63.224861274576,318.493216992822,63.6160615495061,67.6116405264473
E_observer_bandwidth,0.6,ADRC,ADRC,1,1,64.6666544655042,58.3002230242038,63.224861274576,318.372686908302,63.5039346968795,67.7315166850036
E_observer_bandwidth,0.7,ADRC,ADRC,1,1,64.6666544655042,58.1140310425226,63.224861274576,68.124574504692,63.2410014052582,67.5159706560832
E_observer_bandwidth,0.8,ADRC,ADRC,1,1,64.6666544655042,57.8633000053945,63.224861274576,68.2109969324361,62.9769420946015,67.3343105048663
E_observer_bandwidth,0.9,ADRC,ADRC,1,1,64.6666544655042,57.574274644207,63.224861274576,68.2355408937786,62.9879255751039,67.3190748172185
E_observer_bandwidth,1,ADRC,ADRC,1,1,64.6666544655042,57.3173419875254,63.224861274576,68.0657321653838,62.9109239936664,67.5118990427371
