factor,factor_value,signed_delta_rmse_pid,signed_delta_rmse_adrc,rmse_pid,rmse_adrc,thd_pid,thd_adrc,stable_pid,stable_adrc,abs_delta_rmse_pid,abs_delta_rmse_adrc
cg_moment_coeff,0.533333333333333,-0.456692472318096,0.473405262693653,65.0844977315681,63.3811153710567,129.516704913414,66.1748137496774,1,1,0.456692472318096,0.473405262693653
cg_moment_coeff,0.586666666666667,-0.681566140092869,0.520304014760399,64.8596240637933,63.4280141231235,135.599809664,66.1063781220491,1,1,0.681566140092869,0.520304014760399
cg_moment_coeff,0.64,-1.10120264853349,0.567681030903806,64.4399875553527,63.4753911392669,128.973705740891,66.1982614676369,1,1,1.10120264853349,0.567681030903806
cg_moment_coeff,0.693333333333333,-0.549863163518125,0.627713361482265,64.9913270403681,63.5354234698453,128.330463055511,66.4213814737843,1,1,0.549863163518125,0.627713361482265
cg_moment_coeff,0.746666666666667,-0.375599622369791,0.654177892361332,65.1655905815164,63.5618880007244,127.388782798781,66.2326885619434,1,1,0.375599622369791,0.654177892361332
cg_moment_coeff,0.8,-0.204025932463338,0.722705043360982,65.3371642714229,63.6304151517241,122.063174329787,66.4889502556729,1,1,0.204025932463338,0.722705043360982
thrust_profile_amp,0,0.446298950583511,0.0855690682145891,65.9874891544697,62.9932791765777,121.8700313064,64.6609403149042,0,1,0.446298950583511,0.0855690682145891
thrust_profile_amp,0.0166666666666667,0.103608181733932,0.0716356417691273,65.6447983856201,62.9793457501322,124.812100970485,64.7486545598506,1,1,0.103608181733932,0.0716356417691273
thrust_profile_amp,0.0333333333333333,0.0481598653645108,0.0575840869789559,65.5893500692507,62.965294195342,123.352333357111,64.6261255097108,1,1,0.0481598653645108,0.0575840869789559
thrust_profile_amp,0.05,0.0419565750987232,0.0402209148687049,65.5831467789849,62.9479310232318,125.396940492364,64.7327497925697,1,1,0.0419565750987232,0.0402209148687049
thrust_profile_amp,0.0666666666666667,0.0433013948174761,0.0321410875162584,65.5844915987037,62.9398511958793,124.794333146588,64.6838152707821,1,1,0.0433013948174761,0.0321410875162584
thrust_profile_amp,0.0833333333333333,-0.0970758411765615,-0.00292202883099435,65.4441143627096,62.9047880795321,127.707295218365,64.8163763031651,1,1,0.0970758411765615,0.00292202883099435
thrust_profile_amp,0.1,0.0764753040815407,0.00444107447743392,65.6176655079677,62.9121511828405,123.495873346528,65.0294079804133,1,1,0.0764753040815407,0.00444107447743392
thrust_profile_amp,0.116666666666667,0.0356787652217179,-0.0313175990027403,65.5768689691079,62.8763925093603,125.608947443009,64.9969732285677,1,1,0.0356787652217179,0.0313175990027403
thrust_profile_amp,0.133333333333333,-0.180918748220094,-0.00705650355762799,65.3602714556661,62.9006536048054,126.916617108126,65.0940406446857,1,1,0.180918748220094,0.00705650355762799
thrust_profile_amp,0.15,-0.13886245458157,-0.0473685640623955,65.4023277493046,62.8603415443007,126.280682182273,65.1064058524381,1,1,0.13886245458157,0.0473685640623955
thrust_profile_amp,0.166666666666667,-0.201331651478696,-0.0398723945446093,65.3398585524075,62.8678377138185,128.278293785329,65.2637012797415,1,1,0.201331651478696,0.0398723945446093
thrust_profile_amp,0.183333333333333,-0.347141314010855,-0.0625715548668282,65.1940488898753,62.8451385534962,127.180720571281,65.3896489913175,1,1,0.347141314010855,0.0625715548668282
thrust_profile_amp,0.2,-0.291210299716369,-0.114459726332882,65.2499799041698,62.7932503820302,127.310370923901,65.3761138498237,1,1,0.291210299716369,0.114459726332882
thrust_profile_amp,0.216666666666667,-0.228793941738516,-0.126955143265363,65.3123962621477,62.7807549650977,127.802209464123,65.4655809711021,1,1,0.228793941738516,0.126955143265363
thrust_profile_amp,0.233333333333333,-0.250062380010093,-0.118386911266207,65.2911278238761,62.7893231970969,130.398545318046,65.6069849048375,1,1,0.250062380010093,0.118386911266207
thrust_profile_amp,0.25,-0.283382708466917,-0.122879838901774,65.2578074954193,62.7848302694613,127.704285811372,65.7014805701242,1,1,0.283382708466917,0.122879838901774
