rocket_id,regime_label,regime_code,boundary_distance,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,latency_steps,wind_strength,nominal_servo_slew_deg_s,nominal_max_gimbal_deg,design_id
R0467,INFEASIBLE,0,-2.27871787202475,0.817381301451705,46.9332127852416,10.7130997081795,0.714206647211964,20,32,0,1,0,0.333333333333333,1.99257272109935,0.0131443643340533,0.0929526546554952,-53.2342394317752,5.60233834035392,47.4370487592784,0.147699382774105,0.128524802717455,5,0.428688226715796,46.9332127852416,10.7130997081795,467
R0468,EASY,2,1.94656365239487,1.3241336992283,91.9069051236528,10.6665101456103,0.711100676374022,20,32,1,1,1,1,1.62015767239516,0.0243146934672559,0.110762819627538,-61.683536756594,5.24643062215568,34.4607098841637,0.106992179886183,0.0990977825079571,2,0.172515514691753,91.9069051236528,10.6665101456103,468
R0469,INFEASIBLE,0,-2.50930048932274,0.960036499498278,33.0763002415062,10.5332720155682,0.702218134371212,20,32,0,0,0,0,1.89709860353413,0.0334372665715972,0.164319523448913,-35.096723685923,9.72040993078351,46.7086541846906,0.145575816831253,0.217722325076895,4,0.417790971676841,33.0763002415062,10.5332720155682,469
R0470,INFEASIBLE,0,-2.57885079335832,2.49649751765221,83.16471795379,10.8414114374063,0.722760762493754,20,32,0,0,0,0,0.959075850425827,0.0246605302936205,0.189153042343673,-68.9447132208156,6.60653142043992,35.3205681388293,0.0421566089604535,0.22571781925219,5,0.23981760763015,83.16471795379,10.8414114374063,470
R0471,INFEASIBLE,0,-2.24443247311331,0.944792459810856,62.4927947324094,8.33779957431183,0.555853304954122,20,32,0,0,0,0,1.45553268839761,0.0255237092026447,0.101036871798384,-54.3533209896596,8.75901031167484,43.7321140743929,0.0220279385578039,0.17375547372237,1,0.251773089485554,62.4927947324094,8.33779957431183,471
R0472,EASY,2,2.25957644832662,1.12863329749004,77.4468728456824,9.82520020445924,0.655013346963949,20,32,1,1,1,1,1.00704278358608,0.022556579673766,0.195095271511157,-34.4787750318667,5.92046929468487,45.9782864843859,0.111302126800837,0.0553046412227222,5,0.446331625631114,77.4468728456824,9.82520020445924,472
R0473,INFEASIBLE,0,-2.22835504968853,2.11985470849819,20.5994935639125,13.0131943459345,0.867546289728965,80,32,0,0,0,0,1.13918964671872,0.0258158498032293,0.219165409067525,-44.989216365181,9.44805479702031,28.0033535074345,0.0269436530593903,0.178335283416947,1,0.43803355917823,20.5994935639125,13.0131943459345,473
R0474,FRAGILE,1,0,0.686478223681353,75.3882547616222,12.7736484231218,0.851576561541454,20,16,1,0,1,0.666666666666667,1.30668239469992,0.030432052921328,0.0624784401297975,-65.5452954225082,5.83427997241968,46.0628954372137,0.0740149561053391,0.107524165719095,2,0.362100445302267,75.3882547616222,12.7736484231218,474
R0475,INFEASIBLE,0,-2.16425452534533,0.713258250223599,100.820209466947,10.0184362364098,0.667895749093988,20,32,0,0,0,0,1.5568470554999,0.011414423163523,0.0766619899570213,-42.6961713388862,12.6180497155793,27.2587408768565,0.107340113726544,0.158108875886084,2,0.341379437507911,100.820209466947,10.0184362364098,475
R0476,EASY,2,2.14744534255846,0.714556794818767,41.5105128126918,8.9254993861204,0.595033292408026,20,8,1,1,1,1,2.08760257417732,0.0119972278015872,0.112851426263361,-38.9449548352951,9.59509605231792,48.9670976944761,0.0725972387751125,0.00732964197697458,4,0.163789647273014,41.5105128126918,8.9254993861204,476
