scenario_idx,ctrl_idx,disturb_amp,seed,rms_post_deg,peak_post_deg
1,5,1,4,1.66764984194222,4.16527621332729
1,5,1,5,2.60294933642993,5.67630629533957
1,5,1,6,3.31556954287359,6.73713871069042
1,5,1,7,3.07239034721805,6.67755510443407
1,5,1,8,2.83291759244191,6.55277149406121
1,5,1.5,1,6.90098134738363,12.0579693477073
1,5,1.5,2,1.58597028890918,3.46414203854799
1,5,1.5,3,1.81122535515428,5.67347998080931
1,5,1.5,4,1.49649657706909,3.28902236651278
1,5,1.5,5,3.04777950881284,7.47076769747338
1,5,1.5,6,2.83777137982752,6.09203322143619
1,5,1.5,7,3.51055161698566,7.33629566809773
1,5,1.5,8,3.27841232401466,6.08801000592614
1,5,2,1,6.80784440733036,11.5435745862525
1,5,2,2,1.96771781481266,4.68957416261297
1,5,2,3,2.3236199536981,7.8881842060672
1,5,2,4,2.12139629216921,5.35554911035211
1,5,2,5,3.37361879773844,8.30548752320909
1,5,2,6,3.48655448771544,7.78081511726499
1,5,2,7,3.53355018927693,7.37391128975751
1,5,2,8,3.30340733920842,7.2073640047351
1,5,2.5,1,6.99230881355842,11.8840246269219
1,5,2.5,2,2.33312581544741,5.22708688942533
1,5,2.5,3,2.48733144693357,8.50209829402684
1,5,2.5,4,2.1971985207259,5.69375137785139
1,5,2.5,5,3.36013543076394,8.33128001982455
1,5,2.5,6,3.77612145086208,9.21009586161334
1,5,2.5,7,4.20224940520669,11.8696027132499
1,5,2.5,8,3.14856523860513,7.31537493089746
1,5,3,1,7.10579812053425,12.0453242892417
1,5,3,2,3.27766747114035,10.0108834073878
1,5,3,3,2.61450212648026,8.71797836869066
1,5,3,4,2.93570289988616,8.45228722630064
1,5,3,5,3.33408708917735,7.36619178375835
1,5,3,6,3.45003195829208,7.45604652007143
1,5,3,7,4.1693280179574,9.93681589779135
1,5,3,8,4.15934210835376,12.3917031638039
1,5,3.5,1,7.83345088799386,16.6238360847202
1,5,3.5,2,2.72453613203212,6.37101132601513
1,5,3.5,3,3.02862059112433,10.2302669833213
1,5,3.5,4,2.7480527330921,5.6868115235552
1,5,3.5,5,3.44624349651016,7.65658816522526
1,5,3.5,6,3.46626657168807,9.64591700293662
1,5,3.5,7,3.85666249237296,8.93774900752672
1,5,3.5,8,3.78908532245675,8.65005529096459
1,5,4,1,8.00886378730884,17.7160428105097
1,5,4,2,3.39274198906163,8.91138047528318
1,5,4,3,4.27099253667379,15.301296835391
1,5,4,4,3.09718929811869,7.10594741886097
1,5,4,5,3.72111082109787,8.56464065166954
1,5,4,6,3.80087570252143,11.0342485565126
1,5,4,7,4.14346042034508,9.19068907440614
1,5,4,8,4.37014911415509,9.45229934654006
2,1,0.5,1,6.9511022796541,10.3302426014537
2,1,0.5,2,0.597483771780688,1.14340073049008
2,1,0.5,3,0.642192350426609,1.4020735326325
2,1,0.5,4,0.754270872584851,1.44893651105701
2,1,0.5,5,2.4865688479846,4.78277613834074
2,1,0.5,6,2.60539779198116,4.0843177579466
2,1,0.5,7,3.15035901265923,4.92199197294077
2,1,0.5,8,2.87462715778912,4.41033190378984
2,1,1,1,7.09467463039041,10.949581957903
2,1,1,2,1.03908200754887,1.79626402699305
2,1,1,3,1.01030024913453,1.64562529122213
2,1,1,4,1.20760339308445,2.15630503614696
2,1,1,5,2.6916859055666,5.50978887883006
2,1,1,6,2.81351977468241,4.81925555716673
2,1,1,7,3.37323375568812,5.63560098439191
2,1,1,8,2.92830871805066,4.65513101592582
2,1,1.5,1,7.27363996231071,11.6211026037174
2,1,1.5,2,1.52944874882485,2.60827390021759
2,1,1.5,3,1.46923374354053,2.33380244066971
2,1,1.5,4,1.70169270538879,2.87215817501857
2,1,1.5,5,2.97441170837862,6.22572466237404
2,1,1.5,6,3.08829206334635,5.53105544901905
2,1,1.5,7,3.6493920017583,6.35965461702648
2,1,1.5,8,3.07512614208357,5.34331106964468
2,1,2,1,7.47894247002318,12.3092099943353
2,1,2,2,2.03990839636789,3.41731340313401
2,1,2,3,1.95988788375785,3.02564518194168
2,1,2,4,2.20788027197974,3.5813600452998
2,1,2,5,3.3131850146899,6.9564561622432
2,1,2,6,3.43102146982859,6.27514296257233
2,1,2,7,3.98919150118651,7.07557527371761
2,1,2,8,3.29909237960349,6.05638859185077
2,1,2.5,1,7.71727164107335,13.0121243719245
2,1,2.5,2,2.55417495179793,4.22299288766684
2,1,2.5,3,2.4664089111755,3.75078849589984
2,1,2.5,4,2.72157356631476,4.39060921106387
2,1,2.5,5,3.69775407309122,7.68423809376795
2,1,2.5,6,3.8108354937432,7.00375174109543
2,1,2.5,7,4.3569507290477,7.80115445333165
2,1,2.5,8,3.58107047352597,6.76332723434002
2,1,3,1,7.9814147601329,13.6795721689269
2,1,3,2,3.07241846312465,5.02450214068505
2,1,3,3,2.97808396052704,4.47854565333501
2,1,3,4,3.23742045015438,5.20293905498905
2,1,3,5,4.11066158898108,8.41011394264303
2,1,3,6,4.21495486996456,7.71941435685944
2,1,3,7,4.74976310495843,8.50975045351081
2,1,3,8,3.91772606505862,7.50910663896134
2,1,3.5,1,8.27369932806822,14.3951428667731
2,1,3.5,2,3.59380134304855,5.85883422421516
2,1,3.5,3,3.49268934699,5.20090181633715
2,1,3.5,4,3.75698454059764,6.01872919151688
2,1,3.5,5,4.55047117574169,9.14890979127595
2,1,3.5,6,4.6514418684293,8.44711247453107
2,1,3.5,7,5.17194733384647,9.24211783596474
2,1,3.5,8,4.29552482587847,8.22850624822408
2,1,4,1,8.59301475419465,15.1304100950547
2,1,4,2,4.12389971936962,6.81989774844382
2,1,4,3,4.01426645208766,5.91923900435912
2,1,4,4,4.28631395940853,6.97052192728763
2,1,4,5,5.00811169210753,9.87522301866365
2,1,4,6,5.12809044948136,9.18528023168095
2,1,4,7,5.61417943004856,9.97518011266618
2,1,4,8,4.71301224341353,8.94403554140229
2,2,0.5,1,6.80365200750727,9.94175474481939
2,2,0.5,2,0.427519336158743,1.21386784085222
2,2,0.5,3,0.535227449702975,0.863810060000523
2,2,0.5,4,0.451642421775347,0.74319530412194
2,2,0.5,5,2.41814937183648,4.33856497686524
2,2,0.5,6,2.52755626024185,3.19082604525819
