scenario_idx,ctrl_idx,seed,rms_pre,rms_post,pk_post
2,2,4,0.353937483063009,0.488395158457893,0.903867762869637
2,2,5,0.433478750267224,2.44897985455912,4.43140077270371
2,2,6,0.897347258230071,2.54235344913066,3.35613959728667
2,2,7,0.760745413734453,3.06498063265683,4.28301832860644
2,2,8,0.727488534788176,3.00016377005836,4.22612404617603
2,2,9,0.724102744475016,1.33975972042272,2.97247153792287
2,2,10,0.38576237749274,3.66226564121039,7.38377834393803
2,2,11,0.722999195596506,4.79372958180234,8.00217957790274
2,2,12,0.55596125143554,3.69831604246533,5.89730076379765
2,2,13,0.0982055630040619,1.51294268657137,3.08697776739009
2,2,14,1.20361507755186,3.86759807277402,5.18742817623474
2,2,15,0.63780651657175,3.24883210562751,4.97540586778818
2,2,16,0.46587077597274,2.47991006581468,3.48050941511117
2,2,17,0.328760874249229,2.59212366452555,4.0127089755706
2,2,18,0.583671802613814,5.10274509898992,7.98267514131087
2,2,19,0.339915713671779,0.624644522550196,1.14540835340248
2,2,20,1.04206951949143,3.80573259240092,5.18730484716601
2,2,21,0.218546466296522,1.03761819845005,1.62329781401213
2,2,22,0.0990969469571149,0.29267248666438,0.594344055288613
2,2,23,1.09333201012364,4.88771008895572,7.25904848644116
2,2,24,0.897457267721832,0.847224781716512,1.57009606624076
2,2,25,0.766887886647184,2.94068036218654,4.48190961976571
2,2,26,1.09005610153135,3.16647708556172,4.32699890771572
2,2,27,0.681723791011212,0.796055155903512,1.45670602505151
2,2,28,0.836600792238592,4.2515318523932,5.64990988517126
2,2,29,0.709155956130072,1.66285122285824,2.58205791747452
2,2,30,1.72366647904968,6.46131307220091,9.59929014479626
2,3,1,1.45501874440366,6.96228936371804,10.4146255724515
2,3,2,0.585529657905569,0.846206038873922,1.7459086234495
2,3,3,0.357675041067982,0.83871702320926,1.4729775412488
2,3,4,0.374006483944507,0.884312812397819,1.8309174675873
2,3,5,0.444557100345259,2.60005532605106,5.11242855733652
2,3,6,0.882833021998807,2.68295722843737,4.21803037517916
2,3,7,0.789601013599474,3.22288454916828,5.06976400252584
2,3,8,0.738578615597033,2.94260787691251,4.12148095667524
2,3,9,0.741635223086566,1.40361933569607,2.96880324795062
2,3,10,0.405088367774305,3.52156746067133,7.13771628220937
2,3,11,0.738590799497655,4.72115449785111,7.73075793503619
2,3,12,0.542853182511044,3.60648506309429,5.49324240240994
2,3,13,0.130283772557071,1.74225089080461,3.51267401040175
2,3,14,1.20646916050128,3.8746733427724,5.4778784487121
2,3,15,0.638981312256516,3.31803420163653,5.35139716946604
2,3,16,0.484908601164478,2.48163944789419,3.98144965923019
2,3,17,0.350732493294783,2.757086196554,4.76037579137229
2,3,18,0.583484433506662,5.03522293107521,7.83957807358062
2,3,19,0.333026634842322,1.09300067897689,2.267891873114
2,3,20,1.0716993999691,3.89587404633389,5.60764371986568
2,3,21,0.238128723263271,1.22176751772346,2.21107820692545
2,3,22,0.11721896353803,0.795645705351116,1.47517236684633
2,3,23,1.04396839870782,4.86322779006386,7.10903844118029
2,3,24,0.898383974728928,1.12352648274956,2.58959830156644
2,3,25,0.770591970029823,3.07544508165082,5.16194761983238
2,3,26,1.11323089575822,3.2878311896114,4.97959076206905
2,3,27,0.664011990765412,1.12361158807978,2.42423612206041
2,3,28,0.847534470972,4.26167409492035,5.95820843506255
2,3,29,0.697080715686861,1.75206186594984,3.00949074219813
2,3,30,1.74798754290984,6.42208052557685,9.47314667661852
2,4,1,1.44974693443999,6.95781244562774,10.4089874849543
2,4,2,0.5887886010749,0.847686745290153,1.75550156217929
2,4,3,0.35923353477037,0.841569653476748,1.4804205553233
2,4,4,0.376038434336006,0.886382227494814,1.83470040526574
2,4,5,0.441763406256266,2.60021672065319,5.11746773344384
2,4,6,0.881956234464737,2.67741656250793,4.21395415279223
2,4,7,0.783662049108273,3.2143575336144,5.08282345484724
2,4,8,0.734324151805165,2.94256633919421,4.12296913597568
2,4,9,0.742235762128728,1.40548901066676,2.97270983327451
2,4,10,0.404606876212061,3.51899214842024,7.13434685420324
2,4,11,0.735116120134182,4.71764529760031,7.73411929434866
2,4,12,0.541924685936114,3.60916788537337,5.49897642497896
2,4,13,0.128437743537302,1.74534871013156,3.51936170846331
2,4,14,1.2039025575795,3.87515395811482,5.47707166174164
2,4,15,0.636930836209004,3.31122732626665,5.33761135930545
2,4,16,0.482198416027063,2.47934734443917,3.96726042202316
2,4,17,0.359234701331867,2.77309415595362,4.78248876017245
2,4,18,0.585539240312318,5.03177025686429,7.83820015024884
2,4,19,0.333944882221786,1.09389832498485,2.26368369324381
2,4,20,1.06824790934981,3.89333704032542,5.60246742452294
2,4,21,0.237743464753187,1.22019063581306,2.20911799620837
2,4,22,0.116419290782139,0.794471363308368,1.47149558483161
2,4,23,1.04602333750145,4.86764599562672,7.14366586479416
2,4,24,0.902455360691954,1.12501081995684,2.59490624425333
2,4,25,0.766974423861612,3.07139833157574,5.15454317106055
2,4,26,1.11683494335306,3.28191277325497,4.96874418117082
2,4,27,0.661885740687758,1.12192810416317,2.4213427905318
2,4,28,0.850250995797306,4.25644057837453,5.95278544405704
2,4,29,0.69664601373431,1.7556454174328,3.02389240048457
2,4,30,1.742619995116,6.41577019503943,9.45899706791296
2,5,1,1.43027866481047,6.82202421628608,9.96418504480863
2,5,2,0.627069646942201,0.461083524037062,1.17000395932246
2,5,3,0.325347660211934,0.554471062188606,1.0073000647925
2,5,4,0.387133281745336,0.481774494314988,0.909167332826907
2,5,5,0.438290915917597,4.754332318109,11.4058801188056
2,5,6,0.898832722566685,2.54219262156461,3.35571351492886
2,5,7,0.765408409916446,3.0694031313858,4.28646126082166
2,5,8,0.724604907033323,2.99727717130829,4.22120150402503
2,5,9,0.723743808029779,1.34083290769639,2.97473120305485
2,5,10,0.389120692524166,4.73143571933526,11.8362607236028
2,5,11,0.72650318280516,9.40360945977483,21.6145982509786
2,5,12,0.556867520937893,3.69535568973103,5.893863434725
2,5,13,0.114401718523757,1.50961774134743,3.08096903234409
2,5,14,1.19862283592032,3.86253063425365,5.17307057167349
