gust_idx,amp_idx,seed,disturb_amp,gust_std,pass,cause_code,rms_post_deg,peak_post_deg,false_sat,late_detection,conf_collapse,authority_exhaust,shield_dominated
2,6,7,3.5,0.2,1,0,4.19036645277375,11.3834543619607,0,0,0,0,0
2,6,8,3.5,0.2,1,0,4.0002059033312,11.4677901143729,0,0,0,0,0
2,6,9,3.5,0.2,1,0,3.49901073640373,11.6514401243344,1,0,0,0,0
2,6,10,3.5,0.2,1,0,6.28114830000255,17.419372641241,1,0,0,0,0
2,7,1,4,0.2,1,0,7.75072024170947,16.016071464545,1,0,0,0,0
2,7,2,4,0.2,0,4,25.8728127627384,64.8576114194313,0,0,0,0,0
2,7,3,4,0.2,1,0,2.87980666985632,7.55904743023328,1,0,0,0,0
2,7,4,4,0.2,1,0,3.06691007654489,7.55554691350171,0,0,0,0,0
2,7,5,4,0.2,1,0,4.3747808002999,13.1299076989082,0,0,0,0,0
2,7,6,4,0.2,1,0,3.70146042578346,7.96366671543938,1,0,0,0,0
2,7,7,4,0.2,1,0,4.17251144229708,8.52390656737892,0,0,1,0,0
2,7,8,4,0.2,1,0,4.33755701250293,9.06711046287608,0,0,0,0,0
2,7,9,4,0.2,1,0,3.86751993928646,12.7683238717976,1,0,0,0,0
2,7,10,4,0.2,1,0,5.380464754482,15.4234675165348,0,0,0,0,0
2,8,1,4.5,0.2,0,1,229.810197088575,551.842810455564,1,0,0,1,0
2,8,2,4.5,0.2,0,1,257.211552015746,646.611722198398,1,0,0,1,0
2,8,3,4.5,0.2,0,1,2541.02396017893,3704.93322726039,1,0,0,1,0
2,8,4,4.5,0.2,1,0,3.78058591326083,12.5714934111054,1,0,0,0,0
2,8,5,4.5,0.2,1,0,3.85290650163601,8.01696825790709,1,0,0,0,0
2,8,6,4.5,0.2,1,0,8.99513182421875,22.7106399024949,1,0,0,0,0
2,8,7,4.5,0.2,1,0,5.51452596440678,15.6410858649144,1,0,0,0,0
2,8,8,4.5,0.2,1,0,4.14116735534359,9.05755936651994,1,0,0,0,0
