feature,class_label,grid_value,partial_dependence
best_u_max_frac,EASY,0.6541788547471026,0.30896943729186555
best_u_max_frac,EASY,0.6758918332384521,0.3013625545073428
best_u_max_frac,EASY,0.6976048117298017,0.29861183897559307
best_u_max_frac,EASY,0.7193177902211512,0.2970076422285409
best_u_max_frac,EASY,0.7410307687125007,0.2944284050373749
best_u_max_frac,EASY,0.7627437472038502,0.293756704365015
best_u_max_frac,EASY,0.7844567256951998,0.2903531218836265
best_u_max_frac,EASY,0.8061697041865492,0.29098314330653774
best_u_max_frac,EASY,0.8278826826778988,0.2910755033838879
best_u_max_frac,EASY,0.8495956611692483,0.29431617586253367
best_u_max_frac,EASY,0.8713086396605978,0.29708296291175806
best_u_max_frac,EASY,0.8930216181519474,0.2981249843737737
best_u_max_frac,EASY,0.9147345966432969,0.2957939095639847
best_u_max_frac,EASY,0.9364475751346464,0.29419595858801806
best_u_max_frac,EASY,0.9581605536259958,0.2914484629136948
best_u_max_frac,EASY,0.9798735321173454,0.29269842784911754
best_u_max_frac,FRAGILE,0.5673269407817045,0.14099890545596128
best_u_max_frac,FRAGILE,0.5890399192730541,0.14090237082539156
best_u_max_frac,FRAGILE,0.6107528977644036,0.13857346557450081
best_u_max_frac,FRAGILE,0.6324658762557531,0.14028745790630917
best_u_max_frac,FRAGILE,0.6541788547471026,0.14895839944754954
best_u_max_frac,FRAGILE,0.6758918332384521,0.15783873921036282
best_u_max_frac,FRAGILE,0.6976048117298017,0.15810323677334878
best_u_max_frac,FRAGILE,0.7193177902211512,0.16294780300162856
best_u_max_frac,FRAGILE,0.7410307687125007,0.16610770970679142
best_u_max_frac,FRAGILE,0.7627437472038502,0.16362496971133306
best_u_max_frac,FRAGILE,0.7844567256951998,0.16532639192905776
best_u_max_frac,FRAGILE,0.8061697041865492,0.1660320947910289
best_u_max_frac,FRAGILE,0.8278826826778988,0.16499638190424704
best_u_max_frac,FRAGILE,0.8495956611692483,0.1594952686446513
best_u_max_frac,FRAGILE,0.8713086396605978,0.14591625307862152
best_u_max_frac,FRAGILE,0.8930216181519474,0.1390121389383994
best_u_max_frac,FRAGILE,0.9147345966432969,0.14000037566587809
best_u_max_frac,FRAGILE,0.9364475751346464,0.14166875258804815
best_u_max_frac,FRAGILE,0.9581605536259958,0.1441709229929619
best_u_max_frac,FRAGILE,0.9798735321173454,0.15252579892554904
