case_id,controller,regime_name,rate_center_deg_s,tau_actuator_ms,tau_sensor_ms,processing_delay_ms,aero_scale,thrust_scale,rms_angle_error_deg,rms_rate_deg_s,max_abs_angle_deg,max_abs_delta_deg,final_error_deg,unstable,precision_success,mean_abs_alpha_deg,cp_ahead_share,zero_crossings_error,slew_tracking_error_deg,overshoot_error_deg
14,ADRC,MID_RATE,130,25,3,6,1,0.9,4.49862222424959,19.6237034904521,16.827013865567,9.87132087798263,0.64092608341268,0,0,101.86247355077,0,1,0.145937809594498,0.721245244443589
14,AI,MID_RATE,130,25,3,6,1,0.9,116.885657577651,48.6393197552142,196.51079588773,9.40744438922889,-196.51079588773,1,0,82.860590153428,0,0,5.12168185997111,0
14,PID,HIGH_RATE,250,25,3,6,1,0.9,11.6207462967152,52.7570707691201,41.668760428947,9.99999969006397,-0.0997488644442711,0,0,109.733161772923,0,0,0.387542127868934,0
14,ADRC,HIGH_RATE,250,25,3,6,1,0.9,12.4250014946762,48.5363169901269,41.668760428947,9.99993731313689,1.84121451209926,0,0,109.423289976875,0,1,0.166355628479321,2.24769819022945
14,AI,HIGH_RATE,250,25,3,6,1,0.9,136.132676853862,61.1305116606244,217.617478006717,9.20820991255859,-217.617478006717,1,0,81.4638371471979,0,0,4.95480959325406,0
15,PID,LOW_RATE,40,8,15,6,1,0.9,1.25585202479614,7.26400844849868,6.97482915792358,9.99996985710171,-0.0898370583907307,0,1,94.6263842240071,0,0,0.203898611413646,0
15,ADRC,LOW_RATE,40,8,15,6,1,0.9,2.01089599233574,6.11267774532585,7.69943607152684,5.71688380631784,0.299585281389241,0,0,96.4098204941701,0,1,0.0294684890384187,0.321927824465247
15,AI,LOW_RATE,40,8,15,6,1,0.9,1.83219383492473,6.29581394153778,7.14817103396987,9.63963000086087,-0.978433517676227,0,1,96.7439183092017,0,0,1.057562516384,0
15,PID,MID_RATE,130,8,15,6,1,0.9,3.30541136434892,19.547372094734,14.8674496381191,9.99999999999827,-0.0936979899514788,0,0,100.27828633697,0,0,0.199608028512867,0
15,ADRC,MID_RATE,130,8,15,6,1,0.9,3.98012651019736,17.9069860604659,15.2482077786552,9.99710607444849,0.566396729390149,0,0,101.259734742924,0,1,0.0560674011411421,0.634389393236673
15,AI,MID_RATE,130,8,15,6,1,0.9,118.126539270906,49.4793545218192,199.739719893853,9.99747610285376,-199.739719893853,1,0,81.9986718937627,0,0,3.20519173272695,0
15,PID,HIGH_RATE,250,8,15,6,1,0.9,10.222160106083,48.259552728261,37.5413813100393,10,-0.0992110629178588,0,0,108.961865187231,0,0,0.205776019547087,0
