scenario,controller,cop_uncertainty,wind_scale,sensor_noise_scale,actuator_delay_ms,adrc_wo_rad_s,success_rate,rms_theta_deg_mean,rms_theta_deg_std,sat_fraction_mean,eso_error_rms,mean_loop_us,loop_utilization
CoP30_Wind25,ADRC,0.3,0.25,0.8,40,14,1,1.43854754460337,0.0325527865533074,0,0.287262859417651,7.19168055555555,0.00143833611111111
CoP30_Wind25,ADRC,0.3,0.25,0.8,40,16,1,1.42275035567881,0.0298532211160483,0,0.293417972341694,8.40953240740741,0.00168190648148148
CoP30_Wind25,ADRC,0.3,0.25,0.8,40,18,1,1.41113986317073,0.0279222149641689,0,0.302389888668722,6.97784259259259,0.00139556851851852
CoP30_Wind25,ADRC,0.3,0.25,1,40,6,0,1.65422627190565,0.0901095293821417,0,0.265951481274826,6.3897962962963,0.00127795925925926
CoP30_Wind25,ADRC,0.3,0.25,1,40,8,0.388888888888889,1.54806076848954,0.0649374198279873,0,0.269496441048658,6.16432407407407,0.00123286481481481
CoP30_Wind25,ADRC,0.3,0.25,1,40,10,0.5,1.49301865617456,0.0521635594482077,0,0.273428468320592,6.20339814814815,0.00124067962962963
CoP30_Wind25,ADRC,0.3,0.25,1,40,12,0.777777777777778,1.45898488449795,0.0439571160862515,0,0.277804931232237,5.67928240740741,0.00113585648148148
CoP30_Wind25,ADRC,0.3,0.25,1,40,14,1,1.4361344418229,0.0391612033600913,0,0.283595795936116,5.27264351851852,0.0010545287037037
CoP30_Wind25,ADRC,0.3,0.25,1,40,16,1,1.42038223369598,0.0358260350913645,0,0.292226677111306,5.31868518518519,0.00106373703703704
CoP30_Wind25,ADRC,0.3,0.25,1,40,18,1,1.40935148152675,0.0335734966636639,0,0.305417838430366,5.31000462962963,0.00106200092592593
CoP30_Wind25,ADRC,0.3,0.25,1.25,40,6,0,1.65101638488123,0.104461491169501,0,0.269425363291937,5.09991203703704,0.00101998240740741
CoP30_Wind25,ADRC,0.3,0.25,1.25,40,8,0.277777777777778,1.54852802146056,0.0761354631268872,0,0.273648631978846,5.11990740740741,0.00102398148148148
CoP30_Wind25,ADRC,0.3,0.25,1.25,40,10,0.5,1.49424481868467,0.060215345260299,0,0.277591258916733,4.95002314814815,0.000990004629629629
CoP30_Wind25,ADRC,0.3,0.25,1.25,40,12,0.777777777777778,1.46017925745226,0.0500266635629376,0,0.282531578933635,5.39538425925926,0.00107907685185185
CoP30_Wind25,ADRC,0.3,0.25,1.25,40,14,0.944444444444444,1.43753408125971,0.043487530814208,0,0.290339516269812,5.2475462962963,0.00104950925925926
CoP30_Wind25,ADRC,0.3,0.25,1.25,40,16,0.944444444444444,1.42201265989778,0.0389327959351424,0,0.303042974178233,5.170875,0.001034175
CoP30_Wind25,ADRC,0.3,0.25,1.25,40,18,1,1.41137627477718,0.0361933222932591,0,0.322607535478112,5.33535648148148,0.0010670712962963
CoP30_Wind25,ADRC,0.3,0.25,1.5,40,6,0.166666666666667,1.61477056642558,0.11527853576047,0,0.277573005911294,5.62120833333333,0.00112424166666667
CoP30_Wind25,ADRC,0.3,0.25,1.5,40,8,0.388888888888889,1.52705246376065,0.0862975274366746,0,0.283652666640343,5.25382407407408,0.00105076481481482
CoP30_Wind25,ADRC,0.3,0.25,1.5,40,10,0.666666666666667,1.47891754270329,0.0692845028007478,0,0.28876413817214,5.09794907407407,0.00101958981481482
CoP30_Wind25,ADRC,0.3,0.25,1.5,40,12,0.833333333333333,1.44854857566022,0.0587754708125987,0,0.295183340221632,4.92239351851852,0.000984478703703704
CoP30_Wind25,ADRC,0.3,0.25,1.5,40,14,0.888888888888889,1.4283742380935,0.0521222297990111,0,0.305366500341825,5.22660185185185,0.00104532037037037
CoP30_Wind25,ADRC,0.3,0.25,1.5,40,16,0.944444444444444,1.41409545585131,0.0476778921165065,0,0.32195459948457,5.18609722222222,0.00103721944444445
CoP30_Wind25,ADRC,0.3,0.25,1.5,40,18,1,1.40536476728081,0.045547834765611,0,0.347739584610123,5.20084259259259,0.00104016851851852
CoP30_Wind25,ADRC,0.3,0.25,1.75,40,6,0.166666666666667,1.62773962965102,0.10891360480771,0,0.270217005018648,5.15366666666667,0.00103073333333333
